step,t,max_u,plate_disp
205,1.28125000e+00,1.6666625969864771e-01,7.7168855126438451e-02
206,1.28750000e+00,1.6666625969864793e-01,7.7573282355344650e-02
207,1.29375000e+00,1.6666625969864812e-01,7.7977825239746584e-02
208,1.30000000e+00,1.6666625969864807e-01,7.8382487808219173e-02
209,1.30625000e+00,1.6666625969864807e-01,7.8787288327040544e-02
210,1.31250000e+00,1.6666625969864812e-01,7.9192229484070648e-02
211,1.31875000e+00,1.6666625969864823e-01,7.9597268195670839e-02
212,1.32500000e+00,1.6666625969864812e-01,8.0002460466467931e-02
213,1.33125000e+00,1.6666625969864862e-01,8.0407763397015761e-02
214,1.33750000e+00,1.6666625969864787e-01,8.0813209196503713e-02
215,1.34375000e+00,1.6666625969864873e-01,8.1218754130531340e-02
216,1.35000000e+00,1.6666625969864840e-01,8.1624464234644242e-02
217,1.35625000e+00,1.6666625969864871e-01,8.2030265395895474e-02
218,1.36250000e+00,1.6666625969864796e-01,8.2436226516106464e-02
219,1.36875000e+00,1.6666625969864912e-01,8.2842270983246022e-02
220,1.37500000e+00,1.6666625969864785e-01,8.3248480976791883e-02
221,1.38125000e+00,1.6666625969864921e-01,8.3654781855064336e-02
222,1.38750000e+00,1.6666625969864907e-01,8.4061242590667384e-02
223,1.39375000e+00,1.6666625969864951e-01,8.4467794977934538e-02
224,1.40000000e+00,1.6666625969864773e-01,8.4874496423124668e-02
225,1.40625000e+00,1.6666625969864896e-01,8.5281281762499175e-02
226,1.41250000e+00,1.6666625969864901e-01,8.5688228451811288e-02
227,1.41875000e+00,1.6666625969864879e-01,8.6095247417409371e-02
228,1.42500000e+00,1.6666625969864904e-01,8.6502414016427887e-02
229,1.43125000e+00,1.6666625969864815e-01,8.6909685289078498e-02
230,1.43750000e+00,1.6666625969864965e-01,8.7317114476689550e-02
231,1.44375000e+00,1.6666625969864879e-01,8.7724636382638901e-02
232,1.45000000e+00,1.6666625969864957e-01,8.8132315886372617e-02
233,1.45625000e+00,1.6666625969864993e-01,8.8540102659141098e-02
234,1.46250000e+00,1.6666625969864984e-01,8.8948056818727833e-02
235,1.46875000e+00,1.6666625969865037e-01,8.9356125325179780e-02
236,1.47500000e+00,1.6666625969864840e-01,8.9764319231821862e-02
237,1.48125000e+00,1.6666625969865109e-01,9.0172628311579184e-02
238,1.48750000e+00,1.6666625969864818e-01,9.0581064478965967e-02
239,1.49375000e+00,1.6666625969865118e-01,9.0989607584100601e-02
240,1.50000000e+00,1.6666625969864840e-01,9.1398310691937754e-02
241,1.50625000e+00,1.6666625969865195e-01,9.1807127271732639e-02
242,1.51250000e+00,1.6666625969864801e-01,9.2216107167406747e-02
